Site,1km_square,bog,broadleaf,built,conifer,dwarf,rough,river,people_km2,grassland,lat,long,year,bait
Glenarm,D 3011,0,0.119165,0,0.047534,0.068045,0.02186,3984.33583,24.5145,0.765255,54.92967146,-5.972788635,1,sunflower and peanuts
Glenarm 2,D 2910,0,0.001715,0.027057,0.239568,0.035586,0.057799,128.227768,434.334991,0.696075,54.9209535,-5.988825696,1,sunflower and peanuts
Glenarrif,D 1821,0.207699,0.056364,0,0.580443,0.115327,0,3720.770537,12.5006,0.040167,55.02242786,-6.155760004,1,sunflower and peanuts
Glencunny,H 1941,0,0.067302,0.011194,0.203141,0,0.010524,4085.471692,35.6563,0.718363,54.31741567,-7.708788791,1,sunflower and peanuts
Glendesha,H 9916,0,0.383143,0.001955,0.078277,0.031679,0.182002,988.769876,35.7106,0.504945,54.08367047,-6.488003462,1,sunflower and peanuts
Glendesha 2,H 9917,0,0.235667,0.086614,0.13086,0.06406,0.214351,0,15.0852,0.482798,54.0926512,-6.487676772,1,sunflower and peanuts
Glendun,D 2031,0.016122,0.011062,0,0.024432,0.631936,0.065898,9031.847637,40.296749,0.316448,55.11172584,-6.120302398,1,sunflower and peanuts
Glengawna,H 4779,0,0.059132,0,0.534985,0.351749,0.045642,2165.32234,7.26405,0.054135,54.65694592,-7.272525805,1,sunflower and peanuts
Glenmore,H 6560,0,0.176024,0,0,0.004422,0.051304,3319.203199,11.0411,0.809879,54.48429597,-6.997869719,1,sunflower and peanuts
Glenshane,C 7703,0.26241,0.014535,0.008034,0.583721,0.074685,0,4685.845439,29.8873,0.056615,54.86880391,-6.801438436,1,sunflower and peanuts
Glynn Hill,J 4099,0,0.130709,0.134958,0.06315,0.000518,0.139425,3107.416686,22.620899,0.6679,54.81925619,-5.82272998,1,sunflower and peanuts
Goles Wood,H 6894,0.029054,0.00011,0,0.201826,0.190698,0.201352,392.014193,59.838201,0.578311,54.78927543,-6.943702573,1,sunflower and peanuts
Gortin Glen,H 4782,0,0.143515,0.02392,0.076592,0,0.139176,4102.527128,11.0411,0.755974,54.68389275,-7.272043767,1,sunflower and peanuts
Gortmullan wood,H 2722,0,0.04386,0.203421,0.021451,0.014551,0.077514,4207.216486,27.9857,0.661107,54.14637096,-7.587569356,1,sunflower and peanuts
Gortnamoyagh 2,C 7815,0,0.030734,0,0.482731,0.187369,0.154248,174.031052,54.608501,0.299167,54.97641639,-6.782616188,1,sunflower and peanuts
Gosford,H 9740,0,0.014012,0.02037,0.374219,0.037746,0,1671.373941,2515.23271,0.553653,54.29958729,-6.510821681,1,sunflower and peanuts
Goudy Bridge,J 1064,0,0.047811,0.049241,0,0.033205,0,2897.880732,17.089399,0.74264,54.51246415,-6.302349999,1,sunflower and peanuts
Groomsport,J 5383,0,0.033493,0.388671,0,0.087215,0.124693,1467.412193,42.065433,0.457726,54.67185872,-5.629079457,1,sunflower and peanuts
Harry's Road,J 2460,0,0.044472,0.14534,0.04671,0.006226,0.082965,2107.294512,97.110233,0.706277,54.47332383,-6.087994042,1,sunflower and peanuts
Heagles ,C 9032,0.023972,0.047584,0.035475,0.123264,0,0,0,45.074668,0.769705,55.12705141,-6.589913277,1,sunflower and peanuts
Hollymount,J 4643,0,0.079683,0.02167,0.286391,0.070189,0.052397,3700.463766,60.9405,0.542065,54.31488032,-5.75724608,1,sunflower and peanuts
Iniscarn,H 8390,0,0.103151,0.006601,0.131399,0,0.044818,5746.21372,30.100051,0.758849,54.75109904,-6.71173226,1,sunflower and peanuts
Isle of Carnmoon,C 9839,0.102947,0.024156,0,0.298922,0.018815,0.004309,1529.412112,63.741052,0.55516,55.18838911,-6.462136125,1,sunflower and peanuts
Jamieson's wood,C 5219,0,0.045569,0.498152,0,0,0,3601.134946,71.151051,0.456278,55.01573003,-7.187878964,1,sunflower and peanuts
Kilbroney wood,J 1817,0,0.620929,0.083157,0.145153,0.017128,0.039533,688.675161,24.2816,0.082507,54.0886515,-6.1974362,1,sunflower and peanuts
Killeter,H 0977,0.019958,0,0,0.974828,0,0,3772.736205,16.2428,0,54.64108647,-7.861357091,1,sunflower and peanuts
Killylane reservoir,J 2998,0,0.01255,0,0.567353,0.085945,0.196658,3359.089823,44.819601,0.196658,54.81322731,-5.994183554,1,sunflower and peanuts
Killynether,J 4772,0,0.158612,0.030411,0.092103,0.179846,0.185983,0,42.155949,0.535051,54.57490672,-5.727516238,1,sunflower and peanuts
Kilmacrew,J 1748,0,0.01278,0.060027,0,0.000144,0.025453,0,739.319985,0.91616,54.3672364,-6.200638961,1,sunflower and peanuts
Kilmore Wood,H 1645,0.046438,0.084534,0.027288,0.070643,0,0.021036,4254.635321,65.020701,0.771098,54.35345194,-7.754672581,1,sunflower and peanuts
Kilmoyle,D 0436,0.005813,0,0.016218,0.471968,0.060521,0.03972,0,51.012751,0.445481,55.16022915,-6.369077096,1,sunflower and peanuts
Kiloanan Foresrt,H 3932,0,0.233413,0,0.240297,0.028119,0.102031,1661.093189,12.0857,0.49028,54.23543371,-7.402650845,1,sunflower and peanuts
Kilturk Lough,H 3527,0,0.136558,0.016508,0.000454,0,0.111383,61.750698,28.61015,0.729442,54.19080583,-7.464572354,1,sunflower and peanuts
Kilwaughter Quarry,D 3500,0,0.001486,0.025294,0.013536,0,0.081047,4117.200849,21.5154,0.881626,54.82960295,-5.899991187,1,sunflower and peanuts
Knappagh House ,H 8047,0,0.075387,0.02324,0,0.029126,0.054099,2538.739027,43.960798,0.861551,54.36539883,-6.769993108,1,sunflower and peanuts
Knockmany,H 5454,0,0.088401,0,0.127699,0,0.004935,576.845121,48.889502,0.77415,54.43168993,-7.168658963,1,sunflower and peanuts
Knocknany Road,J 3361,0,0.031731,0.106139,0.018823,0.042211,0.198027,1524.83839,18.36675,0.801097,54.48002598,-5.948811098,1,sunflower and peanuts
Knockninny,H 2730,0,0.016248,0.077403,0.009301,0.012763,0.179851,0,47.982101,0.845341,54.21823893,-7.586852899,1,sunflower and peanuts
Koram,H 3994,0.208833,0,0,0.181467,0,0.530922,292.82895,17.91005,0.6097,54.79236343,-7.394463728,1,sunflower and peanuts
Lacefield,J 3973,0,0.002767,0.797808,0.0309,0.120796,0,2975.925804,1407.151499,0.047728,54.58614288,-5.850657456,1,sunflower and peanuts
Lack,H 2766,0,0.044504,0.018094,0.011235,0.008307,0.317072,3151.089762,17.60355,0.91786,54.54163404,-7.58358969,1,sunflower and peanuts
Lackagh Burn,C 4500,0,0.151974,0.013276,0.02197,0.000628,0,3872.2469,93.602464,0.812151,54.84575455,-7.300264621,1,sunflower and peanuts
Lackagh Wood,C 4806,0.033862,0.375556,0.008035,0,0.053095,0,3458.195378,58.0851,0.529452,54.89936795,-7.252572905,1,sunflower and peanuts
Lady Dixon Park,J 2968,0,0.135248,0.603619,0.09447,0.01417,0,4241.872807,41.74315,0.152494,54.54390189,-6.007423604,1,sunflower and peanuts
Leckpatrick,C 3602,0,0.048694,0,0.003551,0,0.029909,3462.861607,20.2721,0.947755,54.86444599,-7.44010448,1,sunflower and peanuts
Lime park,H 7545,0,0.055728,0.12732,0.001439,0.026425,0.035072,407.818776,36.897149,0.758499,54.34819493,-6.847400468,1,sunflower and peanuts
Lisfordhun,H 4193,0,0.0042,0,0.236782,0.114873,0.503364,4857.618894,205.990032,0.644145,54.78322195,-7.363515384,1,sunflower and peanuts
Lislea wood ,H 4826,0.010926,0.235832,0.014287,0.050219,0,0.160368,493.451213,23.3515,0.662213,54.18077259,-7.265597665,1,sunflower and peanuts
Lissan North,H 7982,0,0.211642,0,0.199037,0,0.05001,3826.105732,42.565901,0.58932,54.67989605,-6.776004409,1,sunflower and peanuts
Lissan South,H 8081,0,0.085471,0,0.102009,0.007389,0.021448,3564.114301,15.2986,0.785654,54.67075755,-6.760778948,1,sunflower and peanuts
Longfield - slieve gullion,J 0118,0,0.119508,0.020965,0.047081,0.062683,0.144709,0,1843.211809,0.749167,54.10124374,-6.456788425,1,sunflower and peanuts
Lough Braden,H 2171,0.020294,0.054393,0,0.054828,0.405897,0.423083,4696.364728,13.0399,0.464589,54.58683295,-7.675933166,1,sunflower and peanuts
Lough Gall,H 9152,0,0.246018,0.046245,0.04119,0.019948,0.192902,2248.080967,822.039981,0.639695,54.40845946,-6.599288175,1,sunflower and peanuts
Loughbrickland,J 1042,0,0.064147,0.204609,0,0.013831,0.145504,965.214341,38.55855,0.695451,54.31491615,-6.310495863,1,sunflower and peanuts
Loughermore Bridge,C 5812,0.440471,0.195355,0.021221,0.188623,0.062652,0.023663,4180.082027,312.703501,0.091678,54.95219788,-7.095513528,1,sunflower and peanuts
Magheramorne house,J 4298,0,0.105471,0.072163,0.174268,0.005132,0.028217,6609.984284,49.3498,0.622489,54.80971815,-5.792130814,1,sunflower and peanuts
Magho,H 0758,0,0.308803,0,0.643125,0,0,0,20.9398,0.035971,54.47043813,-7.892783081,1,sunflower and peanuts
Malone Golf Club ,J 3167,0,0.073474,0.058178,0.078051,0.018097,0.016805,3128.997952,2855.03447,0.705136,54.53441142,-5.97698492,1,sunflower and peanuts
Mary Peters Track,J 3168,0,0.144321,0.216251,0.198513,0.113378,0,1619.440167,38.622301,0.327537,54.54338901,-5.976540578,1,sunflower and peanuts
Mazes wood ,D 0536,0.127884,0.005242,0.00561,0.178329,0.034401,0,4125.234731,35.665401,0.648534,55.16001827,-6.3533951,1,sunflower and peanuts
McIllroy park,J 2966,0,0.020384,0.278047,0.019764,0.045993,0.094485,0,97.283503,0.635812,54.52594636,-6.008298507,1,sunflower and peanuts
Meenakeeran,H 1081,0.510022,0.015383,0,0.151915,0.107362,0.198238,3689.57601,41.886433,0.215318,54.67699964,-7.845732816,1,sunflower and peanuts
Minnowburn,J 3268,0,0.130789,0.065019,0.124077,0.075428,0.011793,3205.429129,25.7994,0.604686,54.54312961,-5.961099432,1,sunflower and peanuts
Moss side,D 0134,0,0.025675,0.012083,0.014302,0.08028,0,2226.134674,4484.840955,0.86766,55.14289198,-6.416835903,1,sunflower and peanuts
Mount Stewart 02,J 5571,0,0.000194,0.025161,0.058928,0.015555,0.126487,707.038238,44.381749,0.900162,54.56354591,-5.604446601,1,sunflower and peanuts
Mount Stewart 03,J 5471,0,0.019003,0.026044,0.069318,0.019143,0.127199,3538.262674,24.013249,0.866493,54.5638509,-5.619891757,1,sunflower and peanuts
Mountsandel,C 8530,0,0.139715,0.556439,0.081915,0.069314,0,1555.771483,22.718101,0.025214,55.10997338,-6.668866573,1,sunflower and peanuts
Mountstewart,J 5668,0,0.039188,0.027456,0.104387,0.035017,0.10356,669.613182,15.4466,0.79026,54.53631328,-5.590590169,1,sunflower and peanuts
Movarran,H 1772,0,0.110602,0,0.38765,0,0.361417,1859.495767,656.189757,0.501748,54.59596599,-7.737744078,1,sunflower and peanuts
Moyarget wood,D 0539,0.220152,0,0.005444,0.406483,0.054936,0.01328,3059.204576,9.0465,0.312986,55.18695388,-6.352283933,1,sunflower and peanuts
Moyarget wood 2,D 0538,0.011263,0.027856,0,0.301418,0,0,2028.134098,10.6803,0.659464,55.17797536,-6.352654529,1,sunflower and peanuts
Moycraig 2,D 0237,0.088561,0.03626,0,0.288914,0.021703,0.09469,3912.443309,23.3515,0.564562,55.16962361,-6.400082081,1,sunflower and peanuts
Moycraig Wood,D 0138,0.159328,0.003583,0,0.185827,0.013972,0.000985,0,16.74275,0.63729,55.17880732,-6.415411911,1,sunflower and peanuts
Moydamlaght,H 7399,0,0.058976,0,0.236149,0.19821,0.314345,7782.017648,23.176901,0.506665,54.83347895,-6.864735977,1,sunflower and peanuts
Moyola,H 9394,0.052008,0.275577,0.006766,0.126754,0,0.065795,436.68395,629.495003,0.538895,54.78526991,-6.555201208,1,sunflower and peanuts
Muckenragh Forest,H 9154,0,0.012654,0.06476,0.007812,0.004729,0.068602,1595.663592,988.796523,0.869073,54.42642083,-6.598675426,1,sunflower and peanuts
Muckross Point,H 1563,0,0.899174,0,0,0,0,0,27.670049,0.074218,54.51518129,-7.76914322,1,sunflower and peanuts
Muff Glen 1,C 5218,0,0.173271,0.027983,0.031339,0,0,5081.390078,13.37446,0.767407,55.00674844,-7.188060525,1,sunflower and peanuts
Mullaghbawn,J 0018,0,0.025661,0.003811,0,0.051517,0.142761,4403.461405,84.859599,0.902763,54.1014388,-6.472069075,1,sunflower and peanuts
Mullaghfhad,H 5141,0.028844,0.075859,0,0.741012,0.021062,0.097995,4271.566085,17.77974,0.133222,54.31522549,-7.217106932,1,sunflower and peanuts
Mullans Glen,H 1979,0,0.020818,0,0,0.026785,0.291756,2115.303862,204.592808,0.943516,54.65877553,-7.706349702,1,sunflower and peanuts
Murlough Bay,D 1842,0,0.011748,0,0.010138,0.046093,0.081324,1067.205232,71.018799,0.899182,55.21095863,-6.147049543,1,sunflower and peanuts
Murlough NNR,J 4135,0,0.047909,0.020037,0.010285,0.254312,0.18818,0,90.951234,0.1964,54.24446653,-5.837782437,1,sunflower and peanuts
Murlough NNR 2,J 4035,0,0.038027,0.088709,0,0.085575,0.028938,0,118.184998,0.124879,54.24474066,-5.85311064,1,sunflower and peanuts
Narrow water 2,J 1220,0,0.275568,0.006702,0.15107,0.003643,0.042317,1225.095615,30.115251,0.555583,54.11692968,-6.287973617,1,sunflower and peanuts
Necarne,H 2456,0.00931,0.134064,0.017469,0.025009,0.012391,0,3774.388234,35.206501,0.801757,54.45195413,-7.63075084,1,sunflower and peanuts
Necarne Forest,H 2356,0.007296,0.278897,0.006899,0.209292,0.008086,0.016019,3346.183263,49.155701,0.48953,54.4520003,-7.646167006,1,sunflower and peanuts
Ness Wood,C 5211,0.058867,0.255661,0.005453,0.040176,0.022012,0,3932.898853,94.808098,0.617831,54.94387694,-7.18932863,1,sunflower and peanuts
Newcastle / Newforge,J 3269,0,0.093753,0.433336,0.079425,0.062317,0,1810.45572,392.344853,0.33117,54.5521071,-5.960651459,1,sunflower and peanuts
Nugents Wood 01,J 5952,0,0.111495,0.018129,0.094129,0.032686,0.10648,970.731344,19.749451,0.701521,54.39178024,-5.552876842,1,sunflower and peanuts
Nugents Wood 02,J 5951,0,0.068294,0.201617,0.120073,0.005563,0.031177,1868.575574,6777.00166,0.604454,54.38280502,-5.553411157,1,sunflower and peanuts
Old Mountjoy,H 4676,0,0.145287,0,0.150333,0.007169,0.069445,353.60046,76.155434,0.687151,54.63009098,-7.288489564,1,sunflower and peanuts
Owenreagh,H 4196,0.238687,0,0,0.276388,0,0.484011,1224.754593,1269.987295,0.484925,54.81016871,-7.36309163,1,sunflower and peanuts
Oxford island,J 0461,0,0.17763,0.02438,0.017081,0.023278,0.157027,1048.93838,31.1711,0.714405,54.48678999,-6.396004143,1,sunflower and peanuts
Parkanaur,H 7362,0,0.085725,0.011258,0.087839,0,0.009453,688.560298,36.712999,0.815178,54.50117259,-6.873969848,1,sunflower and peanuts
Peatlands Park,H 8960,0.276135,0.243571,0.082754,0.019042,0.026232,0.065236,0,18.2941,0.324652,54.48065886,-6.627678457,1,sunflower and peanuts
Pomeroy,H 7073,0,0.030624,0,0.115891,0.001575,0.02578,4017.740244,28.46495,0.84539,54.60039239,-6.917652888,1,sunflower and peanuts
Portmush,H 2044,0,0.01775,0.089684,0.089365,0.149236,0.023108,394.064377,108.214799,0.615241,54.34432769,-7.693222118,1,sunflower and peanuts
Portulla,J 4846,0,0.174167,0.050974,0.177951,0.046024,0.033508,2082.026237,5.81285,0.518023,54.34123452,-5.725053158,1,sunflower and peanuts
Pubble Forests,H 3346,0,0.13651,0.036323,0.008551,0.005006,0.298422,2848.696201,10.6803,0.813611,54.36161972,-7.493117409,1,sunflower and peanuts
Pubble Wood,H 3246,0,0.030369,0.030979,0.009855,0.038006,0.02101,4525.622444,7.24089,0.890792,54.36168338,-7.508499456,1,sunflower and peanuts
Randalstown forest,J 0887,0,0.316858,0,0.397084,0.022708,0,244.342982,41.023951,0.23309,54.71941659,-6.324749619,1,sunflower and peanuts
Rathkeelan,H 3641,0,0.111481,0.000394,0,0.023231,0.000351,1003.333275,21.5154,0.864894,54.31650161,-7.447574544,1,sunflower and peanuts
Reilly wood/Crom estate,H 3425,0,0.669548,0,0.047416,0.070521,0.030732,0,30.66075,0.105627,54.17290627,-7.480116435,1,sunflower and peanuts
Riversdale,H 2351,0,0.205345,0.030251,0.086022,0.0127,0.019279,5042.276736,69.309298,0.665683,54.40708436,-7.64655419,1,sunflower and peanuts
Riversdale,H 2452,0,0.174422,0.019084,0.056366,0.020961,0.017114,3239.146816,30.410301,0.729169,54.41602147,-7.631074156,1,sunflower and peanuts
Roe Valley,C 6720,0,0.135612,0.025124,0.038639,0,0.217729,5444.794706,168.416097,0.800624,55.02291983,-6.953201018,1,sunflower and peanuts
Ross / Stragolan,H 1466,0,0.162524,0.012939,0.532851,0.006134,0.020671,2249.977566,39.761599,0.285552,54.54215926,-7.784441202,1,sunflower and peanuts
Rylagh Wood ,H 4777,0.110935,0,0,0.017119,0.221262,0.328963,3109.057352,9.26092,0.643569,54.63898131,-7.272846721,1,sunflower and peanuts
Saval Bog,J 2337,0,0.036501,0.003653,0.000407,0.260585,0.257578,0,11.3542,0.698854,54.26706026,-6.112907418,1,sunflower and peanuts
Scotchtown,H 5486,0,0.136165,0,0,0.290055,0.358702,1414.465328,103.61805,0.573779,54.71911993,-7.162785347,1,sunflower and peanuts
Seagahan Dam,H 9038,0,0.024095,0.021313,0.18732,0,0.060057,3262.761411,40.002934,0.655038,54.282905,-6.618907376,1,sunflower and peanuts
Seskinore,H 4764,0,0.203821,0.034108,0.034961,0.033307,0.042867,0,58.498598,0.687334,54.52220997,-7.274924065,1,sunflower and peanuts
Shannaghmore,J 3827,0.00655,0.036667,0.026796,0.108985,0.369492,0.250714,1863.040424,31.08605,0.445229,54.17346255,-5.887437823,1,sunflower and peanuts
Shilnavogy,D 2501,0,0,0,0.164591,0.280229,0.081437,4890.651635,57.763901,0.547788,54.84117218,-6.055067424,1,sunflower and peanuts
Silent Valley,J 3021,0,0.040756,0,0.20554,0.522921,0.095777,3420.746123,59.861548,0.125259,54.12167863,-6.012447512,1,sunflower and peanuts
Skinboy,H 3792,0.114697,0,0,0.657737,0.08083,0.040221,2455.190908,46.048299,0.146737,54.77454992,-7.425808262,1,sunflower and peanuts
Slantry,J 0257,0.020086,0.043749,0.251585,0.029727,0.005574,0,0,67.0595,0.471114,54.45127585,-6.428229568,1,sunflower and peanuts
Slaughan glen,H 2774,0.061377,0.111715,0,0,0.414587,0.31882,4539.135298,42.940851,0.412321,54.61349724,-7.582855719,1,sunflower and peanuts
Slievannora bridge,D 1627,0.032271,0,0,0.199614,0.170692,0.597423,5609.61335,52.6454,0.597423,55.07676523,-6.18457708,1,sunflower and peanuts
Slieve Gullion,J 0319,0,0.185822,0.001457,0.271693,0.258615,0.192329,0,77.877502,0.28207,54.10982824,-6.425887429,1,sunflower and peanuts
Slieve Roosky,J 2023,0,0.041477,0,0.466327,0.249939,0.188152,2074.940021,154.380848,0.242257,54.1420651,-6.164508973,1,sunflower and peanuts
Slieveannora - altaguire bridge,D 1628,0.061288,0.014464,0,0.751182,0.043996,0.120544,2597.517862,32.171,0.12907,55.08574311,-6.184170225,1,sunflower and peanuts
slieveannora - altnahinch dam,D 1222,0.183935,0.012257,0,0.40525,0.232901,0.058143,4120.797658,53.5518,0.165657,55.03279149,-6.2491315,1,sunflower and peanuts
"Slieveannora, Carntuck",D 1321,0.462988,0,0,0.36973,0.158465,0,4256.129074,38.076,0.008817,55.02358734,-6.233895309,1,sunflower and peanuts
Springhill,H 8682,0,0.188975,0.005833,0.046905,0.008715,0.012901,2882.392012,505.690432,0.749572,54.67875119,-6.667514034,1,sunflower and peanuts
Springwell,C 7827,0,0.18498,0,0.355961,0.190707,0.220083,1766.894353,45.64005,0.266687,55.08418153,-6.779343789,1,sunflower and peanuts
St Patricks well,H 5949,0,0.391898,0,0.24417,0.062294,0.168712,2576.18095,23.011233,0.298706,54.38622371,-7.092616647,1,sunflower and peanuts
Straidkilly,D 3016,0,0.474388,0.024416,0.181733,0.015374,0.066429,0,54.133301,0.28784,54.97455619,-5.970527036,1,sunflower and peanuts
Stranmillis,J 3371,0,0.095048,0.803526,0.041485,0.01188,0,78.146593,26.84715,0.016726,54.56980041,-5.944303709,1,sunflower and peanuts
Tassagh,H 8637,0,0.061429,0.020344,0.007426,0.009319,0.056285,4059.568751,31.070699,0.901481,54.27461156,-6.680591043,1,sunflower and peanuts
Temple Golf and Country club,J 3558,0,0.008815,0.0177,0.029571,0.079568,0.143034,2945.19725,79.709599,0.825512,54.45256644,-5.919344948,1,sunflower and peanuts
The Argory,H 8758,0,0.090201,0.016473,0.008065,0.0001,0.070833,1831.268741,76.716301,0.87848,54.46304358,-6.659112214,1,sunflower and peanuts
Tievenadarragh,J 4046,0,0.06128,0.082311,0.368704,0.175145,0.078409,0,12.5006,0.312561,54.34349025,-5.847964733,1,sunflower and peanuts
Tievenameena,H 6488,0.484699,0,0,0.42617,0,0.061081,3609.179326,40.842433,0.08913,54.73591183,-7.007191528,1,sunflower and peanuts
"Tipperary Wood, Newcastle",J 3631,0,0.083698,0.266445,0.115027,0.027533,0.162524,3676.465916,22.0177,0.507296,54.20990687,-5.916236434,1,sunflower and peanuts
Tirnamadam north,H 5088,0.176827,0.018336,0,0.257145,0,0.256367,2573.132757,41.0149,0.531157,54.737497,-7.224507073,1,sunflower and peanuts
Tober Road,D 0424,0,0,0.019357,0.002051,0.04561,0.133268,0,71.891976,0.932981,55.05248453,-6.373461112,1,sunflower and peanuts
Tollymore 01,J 3332,0,0.074715,0.037944,0.405923,0.09334,0.087943,1828.968364,39.9984,0.388078,54.21967115,-5.961743414,1,sunflower and peanuts
Tollymore 02,J 3423,0.025127,0.032755,0,0.554212,0.105832,0.253976,5948.433371,20.871599,0.282074,54.13860919,-5.950425136,1,sunflower and peanuts
Torrosch,J 4373,0,0.003807,0.391129,0.020139,0.075707,0.275278,3726.435076,95.809232,0.509218,54.58502861,-5.788834781,1,sunflower and peanuts
Tullavey,H 2450,0.232873,0.070696,0.007746,0.054636,0.020176,0.067314,1412.766185,79.053749,0.613873,54.39805506,-7.631235548,1,sunflower and peanuts
Tully wood,H 4534,0.372619,0.152741,0,0.432864,0,0,2629.651463,454.318407,0.036437,54.25290829,-7.310343511,1,sunflower and peanuts
Tullycarby wood,H 1150,0,0.165772,0.016833,0.429616,0.033776,0.100828,1687.198334,10.777085,0.354002,54.39850097,-7.831385691,1,sunflower and peanuts
Tullygerravra,H 0147,0,0,0,0.454892,0.156972,0.362166,2818.561043,4.0467,0.388135,54.37166799,-7.985359722,1,sunflower and peanuts
Tullyree,J 3132,0,0.001726,0,0.105837,0.050523,0.356694,2111.798994,45.192751,0.841913,54.22018579,-5.992384108,1,sunflower and peanuts
Tullyvocardy/Derrin Mountain,H 0664,0,0.011482,0,0.252424,0.572712,0.144119,1346.427362,40.751099,0.153551,54.52435035,-7.908085126,1,sunflower and peanuts
UFTM,J 4280,0,0.206464,0.227753,0.278451,0.02594,0.005005,3117.583434,8.77159,0.261391,54.64814541,-5.800902369,1,sunflower and peanuts
Water hill,H 3477,0.480967,0.13863,0,0,0,0,3264.851594,106.490501,0.380402,54.64002326,-7.474170036,1,sunflower and peanuts
Wood Hills,H 3885,0,0.066805,0.03055,0.022692,0,0.045979,0,9.26092,0.812561,54.71159844,-7.411183551,1,sunflower and peanuts
Woodburn 1,H 3791,0.130863,0.039484,0,0.053352,0.008944,0.162363,3569.373994,210.003101,0.767357,54.76556752,-7.425935516,1,sunflower and peanuts
Woodburn 2,J 3589,0,0.08095,0,0.376688,0.123824,0.241603,1481.886898,45.64005,0.418538,54.73085803,-5.905103489,1,sunflower and peanuts
Woodburn North Reservoir,J 3790,0,0.000086,0.013056,0.27999,0.042241,0.174464,5269.208617,42.321899,0.664627,54.73929449,-5.87361015,1,sunflower and peanuts
"Woodhill, Kilskeery",H 2655,0,0.015898,0.017251,0,0.005279,0.254662,579.823862,25.873501,0.961572,54.44287278,-7.600006287,1,sunflower and peanuts
,H 3667,0,0.084209,0.009177,0.14005,0,0.26513,4754.587114,26.5327,0.76656453,54.55005786,-7.444421272,2,sunflower
,H 1866,0,0.021764,0.010023,0.538065,0,0.095541,1523.491253,82.968149,0.430148576,54.54203317,-7.722640076,2,sunflower
,H 4745,0,0.097032,0,0.542961,0.005026,0.188077,4207.544557,1464.209291,0.35498088,54.35153998,-7.277933571,2,sunflower
,H 6566,0.157635,0,0,0.810855,0,0,154.622344,77.159103,0.026085199,54.53818712,-6.996549219,2,sunflower
,H 6666,0.633661,0.010982,0,0.351326,0,0,1538.686352,52.365699,0.004031503,54.53805795,-6.981102704,2,sunflower
,C 6409,0,0.077703,0.024749,0.028581,0.050702,0.302183,2740.402732,92.301498,0.818264072,54.92452133,-7.002550717,2,sunflower
,C 4713,0,0.136396,0.048075,0.008725,0.005775,0,3429.256185,38.281601,0.801029603,54.962336,-7.267015542,2,sunflower
,H 9155,0,0.074756,0.011789,0,0.024174,0.058985,2246.997603,93.190201,0.889280796,54.4354015,-6.598368799,2,sunflower
,H 8757,0.083875,0.34703,0.015753,0,0,0.055565,0,27.123401,0.530960073,54.45406272,-6.659405858,2,sunflower
,C 4614,0,0.096542,0.317041,0.007687,0.002281,0,4565.389719,33.91725,0.576449244,54.97141099,-7.282465405,2,sunflower
,H 5277,0.030058,0.159537,0.015229,0.190643,0.008934,0.314064,1051.561713,22.685201,0.593816487,54.63849147,-7.195418434,2,sunflower
,H 0541,0,0.042712,0,0.115137,0.309189,0.280445,3726.010169,29.696,0.532961656,54.31774378,-7.923914358,2,sunflower
,J 3096,0,0,0.039237,0.095542,0.094831,0.143051,1648.835905,171.059695,0.741772639,54.7950149,-5.9795359,2,sunflower
,D 1237,0,0,0,0.596794,0.095574,0,10147.87084,28.36525,0.307632256,55.16746371,-6.243232199,2,sunflower
,C 6022,0,0.134918,0.045609,0.492105,0.055275,0.024958,2168.787153,11.3542,0.200611554,55.04177472,-7.062209795,2,sunflower
,C 5421,0,0.039353,0.125242,0.015695,0,0.017607,2197.317444,46.02825,0.81971023,55.03348029,-7.156240917,2,sunflower
,J 4478,0,0.053918,0.007894,0.039561,0.038757,0.179504,1256.91895,36.135799,0.859870011,54.6296266,-5.770927367,2,sunflower
,J 6268,0,0.061007,0.219903,0.26385,0.000001,0,2055.013836,34.57,0.44762284,54.53443203,-5.497988057,2,sunflower
,C 6605,0,0.10606,0.006285,0,0.059446,0.282834,2898.541435,104.525246,0.828208802,54.88833649,-6.972278353,2,sunflower
,C 4613,0,0.114327,0.036402,0.015113,0,0,2042.925907,2475.632507,0.834157793,54.96242913,-7.282625568,2,sunflower
,H 2935,0,0.136188,0.007021,0.013037,0.035006,0.09363,1823.607694,39.120201,0.757386438,54.26304669,-7.555712535,2,sunflower
,H 1042,0,0.026002,0.002649,0.553872,0.058106,0.177548,1024.665984,24.3626,0.358391895,54.32665412,-7.84704993,2,sunflower
,J 3470,0,0.118023,0.329508,0.144216,0.020496,0,1532.820248,30.4153,0.350128623,54.56055952,-5.92930814,2,sunflower
,C 6729,0,0.131457,0.001531,0.139558,0.092061,0.025533,2994.390739,17.9186,0.606427896,55.10374802,-6.951088598,2,sunflower
,J 3945,0,0.057551,0.013159,0.208128,0.139201,0.155718,0,5.64027,0.547245943,54.33478617,-5.863795606,2,sunflower
,C 9704,0,0.108749,0.085784,0.032757,0.004864,0.066331,6608.135642,192.816601,0.71880628,54.87431009,-6.489701004,2,sunflower
,H 5093,0.076483,0.204337,0.008762,0.153274,0.125713,0.231278,3967.759985,50.4328,0.4314321,54.78240721,-7.223647646,2,sunflower
,D 1233,0.139937,0.122772,0,0.466796,0.206054,0.027412,1030.457131,4.73723,0.064440441,55.13155146,-6.244810174,2,sunflower
