"","X1km_square","overall_pa_2015","overall_pa_2018","overall_pa_2020","bait","bog","broadleaf","built","conifer","grassland","dwarf","river","rough","lat","long","people_km2","Day.1_2015","Day.1_2018","Day.1_2020","Day.2_2015","Day.2_2018","Day.2_2020","Day.3_2015","Day.3_2018","Day.3_2020","Day.4_2015","Day.4_2018","Day.4_2020","Day.5_2015","Day.5_2018","Day.5_2020","Day.6_2015","Day.6_2018","Day.6_2020","Day.7_2015","Day.7_2018","Day.7_2020","Day.8_2015","Day.8_2018","Day.8_2020","Day.9_2015","Day.9_2018","Day.9_2020","Day.10_2015","Day.10_2018","Day.10_2020","Day.11_2015","Day.11_2018","Day.11_2020","Day.12_2015","Day.12_2018","Day.12_2020","Day.13_2015","Day.13_2018","Day.13_2020","Day.14_2015","Day.14_2018","Day.14_2020"
"64","D2904",1,0,0,"sunflower and peanuts",0.34957,0.014557,0,0.629678,0.006192,4e-06,2401.007722,0,54.86709069,-5.991509082,23.315201,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"65","D0737",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","H8229",1,NA,1,"sunflower and peanuts",0.106361,0.300209,0,0.297045,0.217854,0.002701,3.9912,0.035836,54.20341602,-6.744161454,41.324126,0,NA,0,0,NA,0,1,NA,0,0,NA,1,1,NA,0,0,NA,0,0,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"67","H8385",0,0,0,"sunflower and peanuts",0,0.162641,4.8e-05,0,0.801721,0.006232,1712.157944,0.029358,54.70619583,-6.713156384,18.5228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"68","D4000",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","C6818",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","J0117",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","H4338",1,0,1,"sunflower and peanuts",0.076742,0.212681,0.006494,0.228193,0.2299,0.047587,2306.787511,0.191991,54.28901201,-7.340451935,29.143299,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,NA,0,0,NA,0,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0
"72","H3039",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","H6583",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","H2643",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","H2642",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","H9147",0,NA,0,"sunflower and peanuts",0,0.03503,0.041047,0.012196,0.812746,0.033056,1370.40476,0.0532,54.36355576,-6.600817108,13.43561,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"77","H0160",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","J5748",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","J3237",0,0,1,"sunflower and peanuts",0,0.027268,0.001124,0.763303,0.009173,0.104168,0,0.028084,54.26481959,-5.974865186,111.760575,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"80","J4037",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","H7452",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","H4151",0,NA,0,"sunflower and peanuts",0,0.12044,0,0.166184,0.513087,0.011992,355.240543,0.188298,54.40595433,-7.369374801,57.883801,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"83","H1235",0,NA,0,"sunflower and peanuts",0,0.172421,0.039376,0.023713,0.47214,0.011645,2500.641656,0.277559,54.26372655,-7.81659117,133.436305,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"84","J4877",0,NA,1,"sunflower and peanuts",0,0.308886,0.008801,0.32062,0.129218,0.165179,0,0.055933,54.6194951,-5.709546764,75.3032,0,NA,0,0,NA,0,0,NA,1,0,NA,1,0,NA,1,0,NA,1,0,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0
"85","J0143",0,NA,0,"sunflower and peanuts",0,0.205806,0.021222,0,0.689455,0.019261,4153.284296,0.050844,54.32575382,-6.448392339,27.500051,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"86","D0642",0,0,0,"sunflower and peanuts",0.014146,0.020455,0.012354,0.136011,0.547238,0.134482,1096.09752,0.135314,55.21367603,-6.335467958,44.209366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"87","D0741",0,NA,0,"sunflower and peanuts",0.223585,0.008464,0,0.597347,0.152745,0.006031,2267.390426,0.011829,55.20448236,-6.320143503,19.773899,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"88","J4394",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","C5406",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","J3497",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","H4632",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","H5248",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","H2328",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","H3680",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"95","H2047",0,NA,1,"sunflower and peanuts",0,0.032835,0.012925,0.06809,0.826287,0.006764,3380.573996,0,54.3712777,-7.693021024,20.16,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0
"96","H9527",1,NA,1,"sunflower and peanuts",0.283857,0.071882,0.014405,0.369179,0.212917,0.009706,1224.308393,0.026228,54.18321311,-6.545644201,1306.4935,0,NA,0,0,NA,0,1,NA,0,1,NA,0,0,NA,0,1,NA,0,1,NA,0,0,NA,0,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"97","H3845",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","J2870",0,NA,0,"sunflower and peanuts",0,0.048002,0.757429,0,0.135943,0.058625,3074.522267,0,54.56211102,-6.021996387,9.1005,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"99","D1337",0,1,0,"sunflower and peanuts",0,0.015991,0,0.050748,0.926646,0.006615,6458.832076,0,55.16723663,-6.227548391,37.684949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"100","H4232",0,0,0,"sunflower and peanuts",0.003293,0.136316,0.016806,0.235367,0.427633,0,3283.589843,0.180584,54.23519679,-7.356646709,36.916349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"101","H2834",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","J4292",0,NA,0,"sunflower and peanuts",0,0.073601,0.007536,0.204262,0.654669,0.026094,2879.552778,0.033837,54.75586115,-5.795064371,48.5919,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"103","H5646",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","J0414",0,NA,0,"sunflower and peanuts",0,0.041417,0.039073,0.286147,0.475553,0.087174,0,0.070635,54.06472521,-6.412319882,3732.20956,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"105","H3523",1,NA,1,"sunflower and peanuts",0.076998,0.672302,0,0.019033,0.077929,0,123.407432,0.128018,54.15487243,-7.46503655,243.835603,1,NA,1,0,NA,0,1,NA,0,1,NA,0,1,NA,1,1,NA,1,0,NA,1,0,NA,1,0,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0
"106","H4041",0,NA,1,"sunflower and peanuts",0,0.211775,0,0.227972,0.269706,0.014487,1662.252169,0.276059,54.31620435,-7.386114807,5.64027,0,NA,0,0,NA,1,0,NA,1,0,NA,0,0,NA,1,0,NA,1,0,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1
"107","H5138",0,3,1,"sunflower and peanuts",0.060293,0.207603,0.01786,0.092413,0.078003,0.06934,2703.927019,0.469139,54.28827735,-7.217618336,52.353901,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,NA,0,0,NA,1,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"108","H0440",0,0,1,"sunflower and peanuts",0,0.181979,0.051445,0.072241,0.322441,0.159663,0,0.208353,54.30876901,-7.939293904,61.182301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,1
"109","H0754",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","H6751",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","C9917",0,NA,1,"sunflower and peanuts",0.613693,0.013802,0,0.353005,0.0195,0,2429.425615,0,54.99065022,-6.454085286,43.14975,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1
"112","D2718",0,NA,1,"sunflower and peanuts",0,0,0.009161,0.045524,0.717369,0.146304,3573.178401,0.057454,54.99328311,-6.016461216,140.94725,0,NA,1,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,NA,1,0,NA,1,0,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,0
"113","H3670",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","H6179",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","J4278",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","H4048",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","J2722",0,NA,0,"sunflower and peanuts",0,0.027916,0.008938,0.286338,0.072949,0.24453,2141.306851,0.359329,54.13140607,-6.057881737,189.310001,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"118","H7153",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","H7360",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","H4781",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","H1264",1,2,1,"sunflower and peanuts",0,0.212184,0.004929,0.376423,0.337539,0,0,0.01444,54.52424415,-7.815423169,94.8245,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,NA,0,0,NA,1,0,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"122","C4310",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","H8630",0,NA,1,"sunflower and peanuts",0.010346,0.257427,0.007961,0.315774,0.363969,0,3426.734345,0.039938,54.21174276,-6.682596367,94.431202,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"124","H7086",0,NA,1,"sunflower and peanuts",0.073841,0.014081,0.001722,0.886347,0.007177,0.005632,3615.690021,0,54.71715068,-6.914543618,27.4863,0,NA,0,0,NA,0,0,NA,0,0,NA,1,0,NA,1,0,NA,1,0,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,1
"125","H7384",1,NA,1,"sunflower and peanuts",0.119283,0.009328,0.022402,0.251824,0.092933,0.199476,408.831652,0.169185,54.69876249,-6.868502202,9.71762,0,NA,0,1,NA,0,0,NA,0,0,NA,1,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"126","H3576",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"127","H2968",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","H7246",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","H9178",0,NA,1,"sunflower and peanuts",0.003349,0.039183,0.086308,0.43901,0.432149,0,0,0,54.6419528,-6.591269604,15.5387,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"130","H3241",0,NA,0,"sunflower and peanuts",0,0.068792,0,0.060659,0.864368,0,197.711506,0.00618,54.31676756,-7.509035338,159.088271,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"131","J1225",0,NA,0,"sunflower and peanuts",0,0.063482,0.034073,0.00613,0.591765,0.021656,1968.554013,0.039768,54.16182855,-6.286119904,82.434333,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"132","H2627",1,NA,1,"sunflower and peanuts",0,0.32191,0.036269,0.04706,0.387086,0.034496,5066.990641,0.173181,54.19134012,-7.602440875,28.94405,1,NA,0,1,NA,1,1,NA,1,1,NA,1,1,NA,1,1,NA,1,1,NA,1,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
"133","H4329",0,1,1,"sunflower and peanuts",0,0.076478,0.005637,0,0.858663,0,4190.656954,0.059221,54.20816469,-7.341741195,79.823799,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,NA,1,1,NA,0,1,NA,0,1,NA,NA,1,NA,NA,0,NA,NA,1,NA,NA,1
"134","H7695",0,0,0,"sunflower and peanuts",0,0.368974,0,0.03959,0.453086,0,3389.944832,0.115261,54.79710988,-6.819110062,77.877502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"135","H3753",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","C7535",0,0,0,"sunflower and peanuts",0,0.202827,0.041695,0.323508,0.308196,0.000352,4873.429873,0.110359,55.15648685,-6.824200382,45.7159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"137","H2086",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","J0835",0,NA,0,"sunflower and peanuts",0,0.114222,0.009633,0.035037,0.683534,0,2235.29519,0.106233,54.2524839,-6.343737914,19.4545,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
"139","H7677",0,0,0,"sunflower and peanuts",0,0.221163,0.014162,0.197726,0.560871,0,1693.440061,0,54.63545137,-6.823800892,35.818199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0
"140","H1767",1,1,1,"sunflower and peanuts",0,0.058447,0,0.495489,0.104917,0,2975.425542,0.341147,54.55105074,-7.738032685,19.47635,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,NA,1,1,NA,1,NA,NA,1,NA,NA,0
