FID_habitatinfo201520182__Buffer,FREQUENCY,SUM_Length_metres_rivers
539,20,1171.994362247676463
540,8,2145.187582479746197
541,5,562.301011424692433
542,12,2590.502589969266410
543,14,3496.294094362755004
544,8,3115.190775118655438
547,12,2372.740138370035766
549,16,3287.220084195136224
550,52,8990.589760833887340
551,2,1095.629777501123954
552,1,194.738267635492605
553,18,3643.383013408376428
554,4,2310.471907136723530
555,4,1330.417959655475670
556,17,4405.301837400129443
557,4,2315.248243807715426
558,8,1094.052044152239205
559,4,2390.619362007250857
560,4,2270.627558532318290
561,22,5750.882316934485971
562,6,2082.599712677106254
563,4,2636.939844643195556
564,4,2661.369951276050870
565,1,202.248945701701899
566,21,7248.601525376420796
567,1,523.170141786847807
568,4,2229.091846624387472
569,2,317.271383038169688
570,28,5959.156833258339248
571,10,2344.008619796893527
572,8,2251.378256046735714
573,3,1157.081322894511459
574,18,3472.090101398317074
575,20,4598.125097172131063
576,4,842.569734572064135
577,16,4137.405890215484760
579,4,626.345727899183430
580,2,337.742537604317022
581,5,4168.984785727243434
582,16,4723.579169236181770
583,18,3775.133497623221047
584,4,2981.296034667625008
586,6,888.609430528887401
587,12,3672.641690005165856
588,4,1421.450100593392335
590,12,4433.636388166041797
591,4,2296.130817674208629
592,4,2538.671861481826909
593,4,2530.700316755604490
596,8,3893.541136679462397
597,12,3183.354641153212469
599,8,2686.125388113082408
600,31,4710.369221108647253
601,4,1912.427960262115221
602,19,2672.315864530070485
603,4,746.253916329759591
604,8,2777.324561452587659
605,22,8118.767729329626491
606,10,3593.833989086563179
607,14,4464.439095018893568
608,30,5265.083717033381618
609,4,546.253814484655322
610,18,3545.339900803307955
611,22,4822.413570413329580
612,12,4367.365255366426936
613,10,3139.643120971809822
614,24,5779.873004355663397
616,28,4240.813241093971556
617,8,2007.778967928075417
618,6,585.766419218385636
619,20,4773.435411689001739
620,52,9692.918633737292112
621,10,3447.270364306091324
622,10,4873.302685843264953
623,10,3275.436884141672181
624,6,1445.453922344764351
626,29,8144.830781049803591
628,4,2448.813797702583543
629,2,121.560715113408065
630,14,5888.309564130595390
631,24,5208.653859284493592
632,27,5754.787263507474563
633,4,1412.060940932923586
634,12,3332.087503247370478
635,4,805.906965758297360
636,16,3551.071545738751411
637,4,81.432233315608784
638,18,3619.685896126619809
639,9,2112.975834109069638
640,6,2789.310902889432327
641,55,11101.892696430544675
643,12,2790.209759077299623
645,6,1549.122566420088560
646,5,1932.201622007851711
648,4,2272.273837763827032
649,16,3914.703745466068085
650,41,7845.365088141090382
651,11,1977.356226591067752
655,17,4785.127437677888338
656,24,5389.842172558069251
657,4,1388.617313887501496
658,12,3676.327259622704787
659,4,2709.853043124670876
660,6,2025.243926749328466
662,2,52.367605938661086
663,4,1327.726268982222109
664,7,2664.528627392286126
665,14,4108.365325324535661
666,14,3558.130810831116378
667,8,4462.197634709013073
668,35,5580.827519337765807
670,4,2024.436654406942580
672,17,3444.377390540193574
673,6,2235.716265423213372
674,28,5160.895869697907983
675,4,2714.101273831335220
676,10,3421.413599294729465
677,6,2102.216277479019936
678,8,2783.059007846423810
679,14,1934.654152425141774
680,10,1412.114238602301157
681,24,4347.175669141091930
682,18,2539.919291534694366
683,8,5378.232070618285434
684,4,2312.110738055588172
685,10,3704.145820570516662
686,6,2504.372572810832935
688,2,1826.027700346478468
689,8,3075.596210952555793
690,9,2112.975834109069638
691,12,2653.528519459618565
692,4,1023.895001266813665
693,6,3057.128119107998373
694,2,264.755424239447279
695,8,3233.530520633816650
696,12,1769.952916754992430
697,6,2418.052556279690634
698,8,2885.196698781772739
700,10,4582.602461583397599
701,10,2953.297575630190750
702,6,1739.723793205072980
703,1,709.719030230960470
704,30,4615.958724535630608
706,4,2263.940121863098284
