"gridid","prefix","number","Shape_Length","Shape_Area","OBJECTID","Join_ID","sum_Shape_Area","sum_Area_SQUAREKILOMETERS","Polygon_Count","X231","X243","X312","X324","X412","X512","X111","X112","X121","X142","X311","X313","X321","X322","X332","X333","X122","X211","X242","X421","X423","X522","X131","X411","X331","X521","X133","X511","X334","X124","X141","X222","X132","X123","NA.","total","artificial_surfaces","agricultural_surfaces","forested_and_semi_natural","wetlands","water_bodies","urban","forest","scrub","y","x"
"B70","B",70,40000,1e+08,6432,703,1121652.66398251,1.12155755517025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112165266398252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112165266398252,0,0,0,0,0.0112165266398252,0,0,0,54.892024,-8.389654
"B71","B",71,40000,1e+08,6515,713,1697694.49822907,1.69755434781506,2,0,0,0,0,0,0,0,0.0169769449822907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169769449822907,0.0169769449822907,0,0,0,0,0.0169769449822907,0,0,54.98186,-8.390524
"B71","B",71,40000,1e+08,6516,713,14155834.2361685,14.1546051347203,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141558342361685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141558342361685,0,0.141558342361685,0,0,0,0,0,0,54.98186,-8.390524
"B71","B",71,40000,1e+08,6517,713,4339682.19681702,4.33932117914654,4,0,0.0433968219681702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433968219681702,0,0.0433968219681702,0,0,0,0,0,0,54.98186,-8.390524
"B71","B",71,40000,1e+08,6518,713,650898.917718195,0.650846108981952,2,0,0,0.00650898917718195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650898917718195,0,0,0.00650898917718195,0,0,0,0.00650898917718195,0,54.98186,-8.390524
"B71","B",71,40000,1e+08,6519,713,1946492.34045627,1.9463151228723,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0194649234045627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194649234045627,0,0,0.0194649234045627,0,0,0,0,0.0194649234045627,54.98186,-8.390524
"B71","B",71,40000,1e+08,6520,713,603278.443596338,0.603229932700586,3,0,0,0,0.00603278443596338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00603278443596338,0,0,0.00603278443596338,0,0,0,0,0.00603278443596338,54.98186,-8.390524
"B71","B",71,40000,1e+08,6521,713,1015333.94829495,1.01524336440893,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101533394829495,0,0,0,0,0,0,0,0,0,0,0.0101533394829495,0,0,0.0101533394829495,0,0,0,0,0,54.98186,-8.390524
"B71","B",71,40000,1e+08,6522,713,1780157.30302614,1.77999975265983,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178015730302614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178015730302614,0,0,0.0178015730302614,0,0,0,0,0,54.98186,-8.390524
"B71","B",71,40000,1e+08,6523,713,44299208.0582663,44.2955198880008,6,0,0,0,0,0.442992080582663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442992080582663,0,0,0,0.442992080582663,0,0,0,0,54.98186,-8.390524
