FID_habitatinfo201520182__Buffer,FREQUENCY,SUM_legth_met
506,1,152.099523954707223
508,1,752.235677290686908
509,46,6207.507822759919691
510,8,1006.645566213011534
511,7,2231.620481942063634
512,27,4187.012486618737967
513,3,1412.192046372830191
514,18,2582.142576731942427
515,5,1273.575850375686969
516,30,5683.433356902633022
517,4,1428.534849020855745
518,5,2254.920991016975677
519,18,3278.082309196532151
520,18,3777.578280778105182
521,12,1371.958098886612561
522,146,14897.886627056219368
523,79,11905.646186167250562
524,26,5659.684921167212451
525,7,1485.505471699799500
526,35,5486.776058063724122
527,23,5042.460694326424345
528,3,832.646977313096045
529,319,27299.381041664655640
530,22,4604.995807432918809
531,19,5450.600276162568662
532,10,3695.235587351698086
533,1,679.340321620410919
534,23,4310.106957866956691
535,15,4855.426536267387746
536,53,14337.569553335273667
537,6,4303.581076729359665
538,8,1924.518420715485263
539,4,2300.709727094757000
540,1,1268.533775989623336
541,16,4430.228008712407245
542,12,2887.469962673747432
543,3,1332.377269455074384
544,15,3966.100788512252166
545,60,11811.353575040988289
546,16,5995.789424091375622
547,12,3463.587483180982872
548,21,3976.329342505970544
549,25,4604.262668001456404
550,64,5971.243908876393107
551,19,4427.254625905180546
552,15,4473.807597055199949
553,35,4593.747936636838858
554,5,2997.532220010302808
555,3,1980.135921244066139
556,8,2141.465728767688233
557,7,1896.777609956088781
558,18,4714.784806849571396
559,333,27320.602035716707178
560,25,5933.128141048417092
561,5,1417.079732472260048
562,10,1790.882782488409021
563,18,3015.350144487424132
564,11,2922.684313921283774
565,38,5901.753028274009921
566,6,3337.643977524197908
567,4,500.235435332638190
568,23,3240.558487514309036
569,5,2574.296515048386482
570,5,2095.228376073706841
571,47,5780.775550922863658
572,11,2713.505462348225137
573,4,233.856410317638080
574,15,4329.273179009729574
575,21,6095.313728746116794
576,2,1398.485935426537935
577,3,2044.217013598024550
578,5,2596.681806114731444
579,7,2248.403682077890608
580,15,1899.835469013904230
581,5,2784.302278942273006
582,1,1137.350884144663269
583,19,3816.187786165227863
584,180,15993.897784958384364
585,21,5736.842454174069644
587,16,3690.153904484801387
588,18,4722.754481444890189
589,14,4115.607342325989521
590,13,1879.426583430346454
591,4,1191.086197535998508
592,23,3559.879928921619921
593,4,1530.514525201771448
594,25,7633.793654699607941
595,174,17503.234246959316806
596,48,6872.188104494477557
597,35,8353.052469384911092
598,40,4920.946960267714530
599,20,3658.292101273707885
600,22,3282.499035758631635
601,7,2870.178615024507508
602,7,3468.274061156917469
603,17,3071.053359428985459
604,7,2553.839944112456124
605,9,2064.128427789054513
607,22,3387.088332979114512
608,6,1685.894694797484135
609,21,4987.086084935880535
610,20,5990.619358232205741
611,19,5074.145115456264648
612,3,1460.564263431686186
613,3,423.361587255788777
614,38,5815.636564942264158
615,26,4770.342132763013069
616,7,1888.884801141643948
617,14,3634.804958207764685
618,2,1616.528348685898663
619,17,4152.154172130457482
620,6,2793.422658609303198
621,5,1938.797261442430681
622,35,6802.759810758365347
623,29,4284.626055976902535
624,3,1102.096979319884895
625,10,1010.642417603097897
626,8,4129.737794681381274
627,55,6779.153236952120096
628,2,154.068560636489195
629,20,3213.165998055601904
630,11,2882.775631720602632
631,5,2050.231672008578244
632,22,2279.227337369102315
633,6,2108.620376397778273
634,24,4108.571828414961601
635,28,5528.348150904036629
636,15,3191.216745248231291
638,71,7365.059629487041093
639,111,11098.088751595729263
640,64,10582.366965079028887
641,1,30.049510265598009
642,24,3515.482298623508996
643,4,1733.393573512289549
644,1,353.804781001999288
645,26,6124.547835111137829
646,6,2630.621138320777391
647,8,1794.304264099865122
648,7,1193.459607953648629
649,36,4695.174103978879430
650,9,3505.025946441447559
651,8,581.178562050996106
652,33,4564.621776699103975
653,54,11795.742228418364903
654,34,8688.590947344308006
655,12,3379.695284383711169
656,23,4911.859604979715186
657,80,6322.718602601753446
658,15,4709.647201862427210
659,18,4275.803813154721865
660,7,2564.897508393854423
661,23,3527.857749029745264
662,55,8335.348150790034197
663,2,61.799206894230473
664,24,4344.165650470015862
665,9,3031.435129893789963
666,7,2406.729504946753877
667,12,3499.514721598765846
668,10,2406.568097347674211
669,70,12591.377296411870702
670,13,3688.412548535328824
671,12,2945.854161593330446
672,30,4939.488563640948996
673,18,3032.568463614340544
674,26,4699.947745430959912
675,6,1594.320144740751175
676,5,852.716562044271882
677,6,1421.355592964723883
678,7,2439.083128370369195
679,6,3536.879084011628038
680,11,1461.758050849329493
681,5,1527.615075433049697
683,4,1354.008315830546280
684,8,2896.857993528200041
685,7,2070.849106067699722
686,8,2987.576108153526548
687,3,1686.601515956598632
688,15,5114.269249662793300
689,10,2916.224673123064349
690,111,11098.088751595729263
691,74,9619.913637454197669
692,4,1944.803303884045818
693,17,2854.324487919247986
694,47,9377.893410674836559
695,2,1089.409073507122685
696,3,1772.198492823621564
697,2,1758.069953859218003
698,5,1685.628784997490584
699,1,763.736168403810780
700,27,4726.577633849346057
701,6,1514.157674013506494
702,30,5489.177624825087150
703,1,37.118208002468364
704,25,5679.284708249436335
705,16,3892.378410532485759
706,15,3063.457420709601138
